formulation_id,experiment_stage,measurement_task_order,measurement_family,measurement_task,raw_data_requirement,batch_id,material_sample_id,specimen_id,replicate_id,protocol_standard_or_sop,instrument_id,calibration_record_id,test_temperature_c,test_rate_or_frequency,test_rate_or_frequency_unit,raw_file_path,raw_file_sha256,processed_file_path,processed_file_sha256,unit_status,qc_status,gold_e_record_status,performance_claim_status
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,A_calibration,3,thermal,DSC_transition,raw_heat_flow_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,A_calibration,4,viscoelastic,DMA_temperature_sweep,Eprime_Edoubleprime_tandelta_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,A_calibration,5,mechanical,tensile_full_curve,stress_strain_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,A_calibration,6,cyclic,cyclic_hysteresis_recovery,cycle_resolved_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,A_calibration,7,physical,density,specimen_level_value,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,A_calibration,8,aging,selected_aging_retention,paired_pre_post_measurements_if_authorized,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,A_calibration,1,reaction_identity,FTIR_NCO_conversion,raw_spectrum_and_derived_conversion,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,A_calibration,2,molecular_weight,GPC_Mn_Mw_PDI,raw_chromatogram_and_calibration,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,A_calibration,3,thermal,DSC_transition,raw_heat_flow_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,A_calibration,4,viscoelastic,DMA_temperature_sweep,Eprime_Edoubleprime_tandelta_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,A_calibration,5,mechanical,tensile_full_curve,stress_strain_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,A_calibration,6,cyclic,cyclic_hysteresis_recovery,cycle_resolved_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,A_calibration,7,physical,density,specimen_level_value,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,A_calibration,8,aging,selected_aging_retention,paired_pre_post_measurements_if_authorized,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_1e9a19535918fee7_707fe304b16717b6,B_priority_exploration,1,reaction_identity,FTIR_NCO_conversion,raw_spectrum_and_derived_conversion,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_1e9a19535918fee7_707fe304b16717b6,B_priority_exploration,2,molecular_weight,GPC_Mn_Mw_PDI,raw_chromatogram_and_calibration,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_1e9a19535918fee7_707fe304b16717b6,B_priority_exploration,3,thermal,DSC_transition,raw_heat_flow_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_1e9a19535918fee7_707fe304b16717b6,B_priority_exploration,4,viscoelastic,DMA_temperature_sweep,Eprime_Edoubleprime_tandelta_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_1e9a19535918fee7_707fe304b16717b6,B_priority_exploration,5,mechanical,tensile_full_curve,stress_strain_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_1e9a19535918fee7_707fe304b16717b6,B_priority_exploration,6,cyclic,cyclic_hysteresis_recovery,cycle_resolved_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_1e9a19535918fee7_707fe304b16717b6,B_priority_exploration,7,physical,density,specimen_level_value,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_1e9a19535918fee7_707fe304b16717b6,B_priority_exploration,8,aging,selected_aging_retention,paired_pre_post_measurements_if_authorized,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_275f68de57f6a031_707fe304b16717b6,B_priority_exploration,1,reaction_identity,FTIR_NCO_conversion,raw_spectrum_and_derived_conversion,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_275f68de57f6a031_707fe304b16717b6,B_priority_exploration,2,molecular_weight,GPC_Mn_Mw_PDI,raw_chromatogram_and_calibration,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_275f68de57f6a031_707fe304b16717b6,B_priority_exploration,3,thermal,DSC_transition,raw_heat_flow_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_275f68de57f6a031_707fe304b16717b6,B_priority_exploration,4,viscoelastic,DMA_temperature_sweep,Eprime_Edoubleprime_tandelta_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_275f68de57f6a031_707fe304b16717b6,B_priority_exploration,5,mechanical,tensile_full_curve,stress_strain_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_275f68de57f6a031_707fe304b16717b6,B_priority_exploration,6,cyclic,cyclic_hysteresis_recovery,cycle_resolved_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_275f68de57f6a031_707fe304b16717b6,B_priority_exploration,7,physical,density,specimen_level_value,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_275f68de57f6a031_707fe304b16717b6,B_priority_exploration,8,aging,selected_aging_retention,paired_pre_post_measurements_if_authorized,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_50aa43042a8e77b6_707fe304b16717b6,C_specialty_deferred,1,reaction_identity,FTIR_NCO_conversion,raw_spectrum_and_derived_conversion,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_50aa43042a8e77b6_707fe304b16717b6,C_specialty_deferred,2,molecular_weight,GPC_Mn_Mw_PDI,raw_chromatogram_and_calibration,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_50aa43042a8e77b6_707fe304b16717b6,C_specialty_deferred,3,thermal,DSC_transition,raw_heat_flow_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_50aa43042a8e77b6_707fe304b16717b6,C_specialty_deferred,4,viscoelastic,DMA_temperature_sweep,Eprime_Edoubleprime_tandelta_curve,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_50aa43042a8e77b6_707fe304b16717b6,C_specialty_deferred,5,mechanical,tensile_full_curve,stress_strain_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_50aa43042a8e77b6_707fe304b16717b6,C_specialty_deferred,6,cyclic,cyclic_hysteresis_recovery,cycle_resolved_curve_per_specimen,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_50aa43042a8e77b6_707fe304b16717b6,C_specialty_deferred,7,physical,density,specimen_level_value,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
commercial_system_50aa43042a8e77b6_707fe304b16717b6,C_specialty_deferred,8,aging,selected_aging_retention,paired_pre_post_measurements_if_authorized,,,,,,,,,,,,,,,not_recorded,not_run,not_ready,no_claim_before_qc
