task_index,task_slug,pair_index,pair_id,pair_type,diisocyanate_id,oh_component_id,oh_component_role,start_index,nco_site_number,oh_site_number,torsion_start_deg,torsion_collision_adjustment_deg,torsion_actual_deg,attack_side,attack_angle_deg,attack_azimuth_adjustment_deg,initial_reactive_distance_a,initial_min_interfragment_distance_a,geometry_status,execution_permission,nco_carbon_atom_index_1based,oh_oxygen_atom_index_1based,atom_count,charge,uhf,monomer_energy_sum_hartree,diisocyanate_xyz_sha256,oh_component_xyz_sha256,input_xyz_file,input_xyz_sha256,xcontrol_file,xcontrol_sha256,constraint_force_constant,xtb_version,xtb_binary_sha256,method,environment_model,optimization_level,calculation_scope,performance_claim_status,run_status,run_issue,association_energy_proxy_kcal_mol,complex_total_energy_hartree,final_reactive_distance_a,runtime_seconds,state_file
10,pair_607a6a8329ad6b63c6a5_s03,2,pair_607a6a8329ad6b63c6a5,diisocyanate_chain_extender,commercial_hdi,commercial_hdo_16,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,1.80994290076,ready,allowed,11,29,46,0,0,-65.38251866,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,1bb74ee0dd4e3b88997df44e1d4f766b9f76a85aea5915cdf58d3f9688092334,输入复合物/pair_607a6a8329ad6b63c6a5_s03.xyz,f13c7402d9bc07ea1e9abcd03610fb0ee95da06b26fbac40a2a3a3bba48d0a8a,约束/pair_607a6a8329ad6b63c6a5_s03.inp,621ccbcf4989212afda973b2ad9e4aea17d4f32cdb0401a0551d52172ecb786c,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-7.46822242933,-65.39442003,2.70219103349,7.553,状态/pair_607a6a8329ad6b63c6a5_s03.json
11,pair_607a6a8329ad6b63c6a5_s04,2,pair_607a6a8329ad6b63c6a5,diisocyanate_chain_extender,commercial_hdi,commercial_hdo_16,chain_extender,4,2,2,270,120,30,1,105,0,2.7,0.738650589802,ready,allowed,11,32,46,0,0,-65.38251866,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,1bb74ee0dd4e3b88997df44e1d4f766b9f76a85aea5915cdf58d3f9688092334,输入复合物/pair_607a6a8329ad6b63c6a5_s04.xyz,dd8464b0d880fe1ba8738f7451025b4abee910fc5bbaf43b16c848bab3d287b2,约束/pair_607a6a8329ad6b63c6a5_s04.inp,13dd5c71f31378718d77352147080ae9888f7a8268ae392bb6d829eccb2a213d,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,invalid_completed_state,completed_state_geometry_not_converged,41.3393326863,-65.31664024,2.70359313568,9.664,状态/pair_607a6a8329ad6b63c6a5_s04.json
12,pair_2b9627b1261e4b218da8_s01,3,pair_2b9627b1261e4b218da8,diisocyanate_chain_extender,commercial_ipdi,commercial_bdo_14,chain_extender,1,1,1,0,-60,300,1,105,0,2.7,0.738969995629,ready,allowed,11,35,50,0,0,-70.71488376,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_2b9627b1261e4b218da8_s01.xyz,71bc206414cf2ed7f472ef695092b51ee06911f1074b36e671b937c1afb4fd7a,约束/pair_2b9627b1261e4b218da8_s01.inp,2ba7525152d1b7e607b10d301c049cf3eef41cc71a2fef19ca948ef5c759147b,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,10.4485912266,-70.69823287,2.70125929277,8.34,状态/pair_2b9627b1261e4b218da8_s01.json
13,pair_2b9627b1261e4b218da8_s02,3,pair_2b9627b1261e4b218da8,diisocyanate_chain_extender,commercial_ipdi,commercial_bdo_14,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.41492257623,ready,allowed,11,40,50,0,0,-70.71488376,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_2b9627b1261e4b218da8_s02.xyz,d2bd4a4b49e95289d788da7ab6a6051a9b54098b7adf28c5c2e26325d9774ba1,约束/pair_2b9627b1261e4b218da8_s02.inp,4e16b0ec5beb8c0d29c98e0c2819bd552d41af2aab5e95dcffacd6ed68705639,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,invalid_completed_state,completed_state_geometry_not_converged,-6.0478359095,-70.7245216,2.70086059777,10.661,状态/pair_2b9627b1261e4b218da8_s02.json
14,pair_2b9627b1261e4b218da8_s03,3,pair_2b9627b1261e4b218da8,diisocyanate_chain_extender,commercial_ipdi,commercial_bdo_14,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,1.33571636867,ready,allowed,15,35,50,0,0,-70.71488376,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_2b9627b1261e4b218da8_s03.xyz,599af147461d1bb5c89a04cd4b9cfef20bd6749f499789390710fdc50da145d3,约束/pair_2b9627b1261e4b218da8_s03.inp,e009e800807ffdf2e74733962769f47890e0a78c9830e71e9ab24bc7bbcd32f2,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-6.98292542737,-70.72601176,2.70293841874,10.634,状态/pair_2b9627b1261e4b218da8_s03.json
15,pair_2b9627b1261e4b218da8_s04,3,pair_2b9627b1261e4b218da8,diisocyanate_chain_extender,commercial_ipdi,commercial_bdo_14,chain_extender,4,2,2,270,60,330,1,105,0,2.7,0.7792619628,ready,allowed,15,40,50,0,0,-70.71488376,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_2b9627b1261e4b218da8_s04.xyz,0e9f12c13a662eac73118ae46900f155a3f8fc1c6343124b92d4c02003aee8b0,约束/pair_2b9627b1261e4b218da8_s04.inp,b140e7a0f0552a6b9db2e8a771a20409c3252d21fe698f1dc77075cdbecf4ba2,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,7.34042384985,-70.70318605,2.69957477632,6.766,状态/pair_2b9627b1261e4b218da8_s04.json
16,pair_2ac1f6ff9ec115897862_s01,4,pair_2ac1f6ff9ec115897862,diisocyanate_chain_extender,commercial_ipdi,commercial_eg,chain_extender,1,1,1,0,-30,330,1,105,0,2.7,0.760613690967,ready,allowed,11,37,44,0,0,-64.38339455,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,a00c33a47dfd9729b1eaf31dfe954e45669c62c10b673e5d515bc6026832b0c5,输入复合物/pair_2ac1f6ff9ec115897862_s01.xyz,694f0ed0b9ea1c4a98ee312089a905f0220cc6fb78b1bf8a4f41c3adaab3d97b,约束/pair_2ac1f6ff9ec115897862_s01.inp,49dad4617e8d575035ef9426e4d0d94d8bf6784c2749127b2397ed89f04a0d02,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,16.1925054725,-64.35759015,2.70036364759,5.023,状态/pair_2ac1f6ff9ec115897862_s01.json
17,pair_2ac1f6ff9ec115897862_s02,4,pair_2ac1f6ff9ec115897862,diisocyanate_chain_extender,commercial_ipdi,commercial_eg,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.43241991503,ready,allowed,11,38,44,0,0,-64.38339455,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,a00c33a47dfd9729b1eaf31dfe954e45669c62c10b673e5d515bc6026832b0c5,输入复合物/pair_2ac1f6ff9ec115897862_s02.xyz,a7d42b8ea09eb9a930da1bbe69eb96ba7f42547c9834728a7d158538d0e329ba,约束/pair_2ac1f6ff9ec115897862_s02.inp,83cf1b302b5ca45007051be76e504efd991f740e4961285a7520c1c99dcea5db,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-3.97801473459,-64.38973392,2.70149582643,2.724,状态/pair_2ac1f6ff9ec115897862_s02.json
18,pair_2ac1f6ff9ec115897862_s03,4,pair_2ac1f6ff9ec115897862,diisocyanate_chain_extender,commercial_ipdi,commercial_eg,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,2.03289355883,ready,allowed,15,37,44,0,0,-64.38339455,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,a00c33a47dfd9729b1eaf31dfe954e45669c62c10b673e5d515bc6026832b0c5,输入复合物/pair_2ac1f6ff9ec115897862_s03.xyz,c838b9c536b5f7f0781a7f4d784411a830ae212569278ab046d406b4513078d6,约束/pair_2ac1f6ff9ec115897862_s03.inp,2b323bbffb53d8c8ba51cb29443156ad794015eb17fe5c88d9705b8a31811d78,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.39744206706,-64.39040232,2.70097998754,4.752,状态/pair_2ac1f6ff9ec115897862_s03.json
19,pair_2ac1f6ff9ec115897862_s04,4,pair_2ac1f6ff9ec115897862,diisocyanate_chain_extender,commercial_ipdi,commercial_eg,chain_extender,4,2,2,270,0,270,1,105,0,2.7,0.89603980198,ready,allowed,15,38,44,0,0,-64.38339455,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,a00c33a47dfd9729b1eaf31dfe954e45669c62c10b673e5d515bc6026832b0c5,输入复合物/pair_2ac1f6ff9ec115897862_s04.xyz,7bde018a870f4559e81db339a35eb66faab9104428b80023857fefc9e004d941,约束/pair_2ac1f6ff9ec115897862_s04.inp,8b2e9ae1c7f55cd727c4a75e993a9a82dd0cb738917ccf3b14c788cf60a30ac1,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-5.03608983428,-64.39142007,2.70163695634,2.04,状态/pair_2ac1f6ff9ec115897862_s04.json
20,pair_fd001194f5aff44100ff_s01,5,pair_fd001194f5aff44100ff,diisocyanate_chain_extender,commercial_mdi_44,commercial_bdo_14,chain_extender,1,1,1,0,30,30,1,105,0,2.7,1.12656039184,ready,allowed,2,30,45,0,0,-73.01747563,cc6a5b5fea9a067eea45f6e46567081c8cbe09ef29e5122a3532a2de2ccb38c1,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_fd001194f5aff44100ff_s01.xyz,66572a9b8ce71acef2fcdbd3f50a0a9e06ff7ef294c2b6074b2200d71d537b0e,约束/pair_fd001194f5aff44100ff_s01.inp,81f9f942b5e84b821868d29357a382e226dc2d1e99cdf8fcb15fa48cd3fc3f60,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-6.72504413391,-73.02819267,2.70078177199,4.367,状态/pair_fd001194f5aff44100ff_s01.json
21,pair_fd001194f5aff44100ff_s02,5,pair_fd001194f5aff44100ff,diisocyanate_chain_extender,commercial_mdi_44,commercial_bdo_14,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.44124395754,ready,allowed,2,35,45,0,0,-73.01747563,cc6a5b5fea9a067eea45f6e46567081c8cbe09ef29e5122a3532a2de2ccb38c1,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_fd001194f5aff44100ff_s02.xyz,f9ddfd5e338f49fb74ae283a1c4456d58360df8521c1e0389ef9e6896b2e1f1c,约束/pair_fd001194f5aff44100ff_s02.inp,f42c937f577abea1cde798120700dd258bf1366b5249e95adc19902730972662,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,invalid_completed_state,completed_state_geometry_not_converged,-5.35166434878,-73.02600405,2.70041375707,9.858,状态/pair_fd001194f5aff44100ff_s02.json
22,pair_fd001194f5aff44100ff_s03,5,pair_fd001194f5aff44100ff,diisocyanate_chain_extender,commercial_mdi_44,commercial_bdo_14,chain_extender,3,2,1,180,30,210,-1,105,0,2.7,0.841849777553,ready,allowed,14,30,45,0,0,-73.01747563,cc6a5b5fea9a067eea45f6e46567081c8cbe09ef29e5122a3532a2de2ccb38c1,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_fd001194f5aff44100ff_s03.xyz,3bf72c0bb10858a2d50f20b0b67755c0e49ad78e8fe0b974eb44e7927f8c710d,约束/pair_fd001194f5aff44100ff_s03.inp,a2510b4a76e3f9268cfac4a3915ad25df19a9b0d63ab94f5b5b302430848fb61,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.67945109979,-73.02493281,2.70094755807,6.321,状态/pair_fd001194f5aff44100ff_s03.json
23,pair_fd001194f5aff44100ff_s04,5,pair_fd001194f5aff44100ff,diisocyanate_chain_extender,commercial_mdi_44,commercial_bdo_14,chain_extender,4,2,2,270,0,270,1,105,0,2.7,0.973425645854,ready,allowed,14,35,45,0,0,-73.01747563,cc6a5b5fea9a067eea45f6e46567081c8cbe09ef29e5122a3532a2de2ccb38c1,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_fd001194f5aff44100ff_s04.xyz,dadaf42316ad5bec80cc0a7ef6ca055d1a7a158dd5ddea0aea8bea8f1f70c5b3,约束/pair_fd001194f5aff44100ff_s04.inp,c259b94bfbf3b03d54d3b0209bf0abd5eba02755de5b71216dcc21f40260fbfd,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.91911579322,-73.02531474,2.70055848032,5.078,状态/pair_fd001194f5aff44100ff_s04.json
24,pair_597bf6d46537121911f9_s01,6,pair_597bf6d46537121911f9,diisocyanate_chain_extender,commercial_mdi_44,commercial_deg,chain_extender,1,1,1,0,0,0,1,105,0,2.7,1.01237560882,ready,allowed,2,35,46,0,0,-77.07155031,cc6a5b5fea9a067eea45f6e46567081c8cbe09ef29e5122a3532a2de2ccb38c1,dde19705451c604ba00ad86d4c8b038460306260484a88830098ddc996f145e7,输入复合物/pair_597bf6d46537121911f9_s01.xyz,405b50abc89c3a5b9896dcce5003145a8f41f3ed3c920ee97dc6a3ab0fbc65a9,约束/pair_597bf6d46537121911f9_s01.inp,f42c937f577abea1cde798120700dd258bf1366b5249e95adc19902730972662,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-6.8255209509,-77.08242747,2.70080778736,5.443,状态/pair_597bf6d46537121911f9_s01.json
