stable_component_id,preferred_name,synonym,role,identity_kind,canonical_smiles,repeat_unit,nominal_mn_g_mol,cas_or_product_grade,supplier_or_manufacturer,evidence_url,accessed_date,synthesis_feasibility_status,commercial_evidence_status,ehs_review_status,source_scope,priority_class,notes
commercial_ptmg_650,PTMG-650,PolyTHF 650,macrodiol,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,650,25190-06-1 / PolyTHF 650,BASF,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,soft_segment_grade,Commercial product grade; lot OH number water Mn Mw and PDI remain required.
commercial_ptmg_1400,PTMG-1400,PolyTHF 1400,macrodiol,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1400,25190-06-1 / PolyTHF 1400,BASF,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,soft_segment_grade,Commercial product grade; lot OH number water Mn Mw and PDI remain required.
commercial_ptmg_1800,PTMG-1800,PolyTHF 1800,macrodiol,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1800,25190-06-1 / PolyTHF 1800,BASF,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,soft_segment_grade,Commercial product grade; lot OH number water Mn Mw and PDI remain required.
commercial_pcl_s22x,Capa-S22X,Capa S 22X,macrodiol,commercial_polyol_grade_pending_representative,,manufacturer-defined-linear-PCL-copolymer,2000,Capa S 22X,Ingevity,https://www.ingevity.com/products/capa-s-22x/,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,pending_representative_model,Commercial TPU soft-segment product; proprietary copolymer representative requires separate model before admission.
commercial_pcd_uh100,ETERNACOLL-UH100,Polycarbonate diol UH-100,macrodiol,commercial_polyol_grade_pending_representative,,polyhexamethylene-carbonate-diol,1000,ETERNACOLL UH-100,UBE,https://www.ube.com/ube/contents/chemical/urethane/pcd.html,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,pending_representative_model,Manufacturer gives Mn and OH value; representative carbonate chain model is not yet admitted.
commercial_pcd_uh200,ETERNACOLL-UH200,Polycarbonate diol UH-200,macrodiol,commercial_polyol_grade_pending_representative,,polyhexamethylene-carbonate-diol,2000,ETERNACOLL UH-200,UBE,https://www.ube.com/ube/contents/chemical/urethane/pcd.html,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,pending_representative_model,Manufacturer gives Mn and OH value; representative carbonate chain model is not yet admitted.
commercial_hdo_16,"1,6-HDO","1,6-Hexanediol",chain_extender,discrete_substance,C(CCCO)CCO,,,"629-11-8 / HDO 1,6-Hexanediol",BASF,https://products.basf.com/global/en/ci/hdo,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,chain_extender_comparison,Manufacturer page states polyurethane-resin use and laboratory/drum packaging.
commercial_npg,NPG,Neopentyl glycol,chain_extender,discrete_substance,CC(C)(CO)CO,,,126-30-7 / Neol NPG,BASF,https://products.basf.com/global/en/ci/neol-neopentylglycol,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,chain_extender_comparison,Manufacturer page lists polyurethane-resin use and multiple pack sizes.
commercial_chdm_14,"1,4-CHDM","1,4-Cyclohexanedimethanol",chain_extender,commercial_isomer_mixture,C1CC(CCC1CO)CO,,,105-08-8 / Eastman CHDM-D,Eastman,https://www.eastman.com/en/products/product-detail/71001802/1-4-cyclohexanedimethanol-chdm-d,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,chain_extender_isomer_mixture,Commercial cis/trans mixture; lot isomer composition and water must be recorded.
commercial_hqee,HQEE,"2,2'-(p-Phenylenedioxy)diethanol",chain_extender,discrete_substance,C1=CC(=CC=C1OCCO)OCCO,,,104-38-1 / ADDOLINK 30/10,LANXESS,https://lanxess.com/en-us/products/products/v/addolink--30-10-tech--ground,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,specialty_chain_extender,Manufacturer identifies high-purity HQEE-based PU chain extender; molten processing review required.
commercial_eg,EG,Monoethylene glycol,chain_extender,discrete_substance,C(CO)O,,,107-21-1 / MEG,BASF,https://products.basf.com/global/en/cp/ethylene-glycol,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,chain_extender_comparison,Industrial product group evidence; laboratory procurement and water specification require confirmation.
commercial_deg,DEG,Diethylene glycol,chain_extender,discrete_substance,C(COCCO)O,,,111-46-6 / DEG,BASF,https://products.basf.com/global/en/cp/ethylene-glycol,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,chain_extender_comparison,Manufacturer page states DEG use as raw material for PU systems.
commercial_ppg_1010l,VORANOL-1010L,Polypropylene glycol homopolymer diol,macrodiol,commercial_polyol_grade_pending_representative,,propylene-glycol-initiated-polypropylene-glycol,1024,VORANOL 1010 L,Dow,https://www.dow.com/en-us/pdp.voranol-1010-l-polyol.58748z.html,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,pending_representative_model,Manufacturer lists functionality 2 molecular weight 1024 and prepolymer use; stereochemical/distribution representative pending.
commercial_ppg_2000l,VORANOL-2000L,Polypropylene glycol homopolymer diol,macrodiol,commercial_polyol_grade_pending_representative,,polypropylene-glycol-homopolymer-diol,2003,VORANOL 2000 L,Dow,https://www.dow.com/en-us/pdp.58762z.html,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,pending_representative_model,Manufacturer lists functionality 2 molecular weight 2003 and elastomer prepolymer use; stereochemical/distribution representative pending.
